_id,address,black1,black2,description,end_date,end_time,location,red1,red2,source,start_date,start_time,strike1,strike2,tags,title
23k5JxwZhANAxYifo,Philadelphia,0,0,Philadelphia Phillies Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-09-11T05:00:00.000Z,6:05 PM,0,0,"[""sports""]",Chicago Cubs at Philadelphia Phillies
24sdBy4mQC55R3zqW,Chicago,0,0,Chicago Cubs Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-09-19T05:00:00.000Z,14:33 PM,0,0,"[""sports""]",St. Louis Cardinals at Chicago Cubs
2WcP4uXcY9Sx5zJ4Q,"1805 S. Loomis Street, Chicago, IL 60608",0,0,"Arts and crafts aficionados use Fresh Paint, a new media arts Microsoft app, to paint and draw on canvases in ways that make the end product look like it was handmade.",2015-08-25T05:00:00.000Z,6:00pm,"{""coordinates"":[-87.661115,41.857801],""type"":""Point""}",0,0,library,2015-08-25T05:00:00.000Z,4:00pm,0,0,"[""art""]",YOUmedia New Media Arts in Painting & Drawing
2Wyhk2k8qME24A3kX,"1625 W. Chicago Avenue, Chicago, IL 60622",0,0,"Unwind, relax and hang out with friends over some board games and video games!",2016-05-12T05:00:00.000Z,5:00pm,"{""coordinates"":[-87.668496,41.895745],""type"":""Point""}",0,0,library,2016-05-12T05:00:00.000Z,3:00pm,0,0,"[""entertainment""]",Teen Game Room
2ibwHrCjWjQ3kcfNj,Pittsburgh,0,0,Pittsburgh Pirates Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-09-17T05:00:00.000Z,11:35 AM,0,0,"[""sports""]",Chicago Cubs at Pittsburgh Pirates
2jsH7GhbyaGz49HHE,"Museum of Science and Industry, Chicago, 5700 South Lake Shore Drive, Chicago, IL 60637, United States",,,"Chicago’s Museum of Science and Industry (MSI) is the largest science museum in the Western Hemisphere and home to more than 35,000 artifacts and 14-plus acres of hands-on exhibits designed to spark scientific inquiry and creativity.  The MSI's ongoing mission has been to inspire the inventive genius in visitors with world-class, permanent and temporary exhibits.
 https://goo.gl/maps/y7Z03
About: http://www.msichicago.org/visit-the-museum/museum-info/admission/free-days/

",2015-10-16T03:38:09.984Z,4:30:00 PM,"{""coordinates"":[-87.58306590000001,41.7905726],""type"":""Point""}",,,calendar,2015-10-16T03:38:09.984Z,9:30:00 AM,,,"[""art""]",Museum of Science and Industry Free
2p7gohMjkLRbkFZjx,"Adams Playground Park, 1919 N. Seminary Ave., Chicago IL         60614",0,0,"Concerts in the Parks provides an opportunity to enjoy a  variety musical sounds at your local park. Funded in part by the Adam's Park Advisory Council and Ranch Triangle Association. Join us for a lively evening of music in the park!  
",2015-08-20T05:00:00.000Z,8:00 PM,"{""coordinates"":[-87.65515299999998,41.91660539999999],""type"":""Point""}",0,0,parks,2015-08-20T05:00:00.000Z,6:30 PM,0,0,"[""entertainment""]",Concerts in the Parks at Adams
2q3xcrrv2zFexHfu2,"Loyola Park, 1230 W. Greenleaf Ave., Chicago IL         60626",0,0,"CRIME SCENE CHICAGO: Breathe Life couples nonfiction source material (such as interviews, articles, and online comments) with true accounts of Chicago crimes to raise critical questions surrounding segregation, poverty, media, and pop culture in order to encourage thought, dialogue, and change.",2015-08-28T05:00:00.000Z,9:00 PM,"{""coordinates"":[-87.66161260000001,42.0108499],""type"":""Point""}",0,0,parks,2015-08-28T05:00:00.000Z,7:00 PM,0,0,[],Crime Scene Chicago at Loyola
2tzRiSD3npPSCeBcS,"Columbus Park, 500 S. Central Ave., Chicago IL         60644",0,0,"The original cabaret series ""A Tribute to the Legends: The Story Continues…"" presents vocalists, spoken word artists, dancers, and instrumentalists in a “living biography”—a musical tribute to iconic artists.
Original cabaret series ""A Tribute to The Legends, The Story Continues"" presents vocalists, spoken word artists, dancers and instrumentalists in a ""living biography"", a musical tribute to iconic artists.",2015-08-30T05:00:00.000Z,4:30 PM,"{""coordinates"":[-87.7701836,41.8745029],""type"":""Point""}",0,0,parks,2015-08-30T05:00:00.000Z,3:00 PM,0,0,[],CWCMC Cabaret Series at Columbus Ref
32i5CDR39ybPh7QHw,"Shedd Aquarium, 1200 South Lake Shore Drive, Chicago, IL 60605, United States",,,"Shedd combines the best of early 20th-century “age of aquariums” characteristics—a diverse, global animal collection surrounded by eye-popping architecture—with 21st-century advances in animal care, environments and interpretation. 
 https://goo.gl/maps/kTUqS
About: http://www.sheddaquarium.org/Views/Pages/Content.aspx?id=3196

",2015-09-16T03:38:09.952Z,5:00:00 PM,"{""coordinates"":[-87.614038,41.8675726],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.952Z,9:00:00 AM,,,"[""entertainment""]",Shedd Aquarium Free
