title,start_date_f,end_date_f,lat,lng,address,description,tags,source,
Chicago Bandits v USSSA Pride,7/28/15,7/28/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the USSSA Pride live in a National Pro Fastpitch game July 27 & 28 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago Cubs v Colorado Rockies,7/28/15,7/28/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Colorado Rockies July 27-29 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Cubs v Colorado Rockies,7/29/15,7/29/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Colorado Rockies July 27-29 at The Friendly Confines!,Sports & Recreation,choosechicago,
Millennium Park Workouts,7/29/15,7/29/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Summer Fitness in the Park,7/29/15,7/29/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Bandits v Pennsylvania Rebellion,7/31/15,7/31/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Pennsylvania Rebellion live in a National Pro Fastpitch game July 31 - August 2 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago Sky v Los Angeles Sparks,7/31/15,7/31/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Los Angeles at Allstate Arena!,Sports & Recreation,choosechicago,7:30pm
Chicago White Sox v New York Yankees,7/31/15,7/31/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the New York Yankees July 31 - August 2 at The Cell!,Sports & Recreation,choosechicago,
Chicago Bandits v Pennsylvania Rebellion,8/1/15,8/1/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Pennsylvania Rebellion live in a National Pro Fastpitch game July 31 - August 2 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago White Sox v New York Yankees,8/1/15,8/1/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the New York Yankees July 31 - August 2 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/1/15,8/1/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Chicago Bandits v Pennsylvania Rebellion,8/2/15,8/2/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Pennsylvania Rebellion live in a National Pro Fastpitch game July 31 - August 2 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago Fire v FC Dallas,8/2/15,8/2/15,41.737459,-87.803915,Chicago Fire Soccer Club Toyota Park Bridgeview IL 60455,See the Chicago Fire live at home against FC Dallas August 2 in this Major League Soccer match!,Sports & Recreation,choosechicago,6 p.m.
Chicago Sky v Washington Mystics,8/2/15,8/2/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Washington at Allstate Arena!,Sports & Recreation,choosechicago,5 p.m.
Chicago White Sox v New York Yankees,8/2/15,8/2/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the New York Yankees July 31 - August 2 at The Cell!,Sports & Recreation,choosechicago,
The Biggest Loser RunWalk Chicago,8/2/15,8/2/15,41.86489051,-87.61388321,Soldier Field 1410 S. Museum Campus Dr. Chicago IL 60605,A race for all fitness levels whether you are ready to set a personal record or this is your first race come join The Biggest Loser RunWalk! Each registered participant and finisher will receive the following: The Biggest Loser Finisher's Medal Commemorative Biggest Loser RunWalk shirt Drawstring Backpack Chip-Timed ...,Sports & Recreation,choosechicago,
Summer Fitness in the Park,8/2/15,8/2/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Bandits v Akron Racers,8/3/15,8/3/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Akron Racers live in a National Pro Fastpitch game August 3 - 5 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago White Sox v Tampa Bay Rays,8/3/15,8/3/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Tampa Bay Rays August 3-5 at The Cell!,Sports & Recreation,choosechicago,
Chicago Bandits v Akron Racers,8/4/15,8/4/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Akron Racers live in a National Pro Fastpitch game August 3 - 5 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago Sky v Indiana Fever,8/4/15,8/4/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Indiana at Allstate Arena!,Sports & Recreation,choosechicago,7 p.m.
Chicago White Sox v Tampa Bay Rays,8/4/15,8/4/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Tampa Bay Rays August 3-5 at The Cell!,Sports & Recreation,choosechicago,
Chicago Bandits v Akron Racers,8/5/15,8/5/15,42.0027,-87.90084,The Ballpark at Rosemont Jennie Finch Way Rosemont IL 60018,See the Chicago Bandits play the Akron Racers live in a National Pro Fastpitch game August 3 - 5 at The Ballpark at Rosemont! Fun fact: The Ballpark at Rosemont is the only stadium in the United States designed for a professional women's softball team.,Sports & Recreation,choosechicago,
Chicago White Sox v Tampa Bay Rays,8/5/15,8/5/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Tampa Bay Rays August 3-5 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/5/15,8/5/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Summer Fitness in the Park,8/5/15,8/5/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Cubs v San Francisco Giants,8/6/15,8/6/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the San Francisco Giants August 6-9 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Cubs v San Francisco Giants,8/7/15,8/7/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the San Francisco Giants August 6-9 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Sky v New York Liberty,8/7/15,8/7/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against New York at Allstate Arena!,Sports & Recreation,choosechicago,7:30 p.m.
Chicago Bears Meijer Family Fest,8/8/15,8/8/15,41.86489051,-87.61388321,Soldier Field 1410 S. Museum Campus Dr. Chicago IL 60605,See the 2015 Chicago Bears for the first time at Soldier Field on Saturday August 8! At Chicago Bears Meijer Family Fest enjoy a Bears SCRIMMAGE live music kid-friendly activities and alumni autographs!,Sports & Recreation,choosechicago,
Chicago Cubs v San Francisco Giants,8/8/15,8/8/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the San Francisco Giants August 6-9 at The Friendly Confines!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/8/15,8/8/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Chicago Cubs v San Francisco Giants,8/9/15,8/9/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the San Francisco Giants August 6-9 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Sky v Phoenix Mercury,8/9/15,8/9/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Phoenix at Allstate Arena!,Sports & Recreation,choosechicago,1 p.m.
