title,start_date_f,end_date_f,lat,lng,address ,description,tags,source 
Chicago Cubs at Milwaukee Brewers,2015-08-01T18:10:00Z,2015-08-01T,none,none,Milwaukee,Milwaukee Brewers Tickets,sports ,espn 
New York Yankees at Chicago White Sox,2015-08-01T18:10:00Z,2015-08-01T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Milwaukee Brewers,2015-08-02T13:10:00Z,2015-08-02T,none,none,Milwaukee,Milwaukee Brewers Tickets,sports ,espn 
New York Yankees at Chicago White Sox,2015-08-02T13:10:00Z,2015-08-02T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Pittsburgh Pirates,2015-08-03T18:05:00Z,2015-08-03T,none,none,Pittsburgh,Pittsburgh Pirates Tickets,sports ,espn 
Tampa Bay Rays at Chicago White Sox,2015-08-03T19:10:00Z,2015-08-03T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Tampa Bay Rays at Chicago White Sox,2015-08-04T19:10:00Z,2015-08-04T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Tampa Bay Rays at Chicago White Sox,2015-08-05T13:10:00Z,2015-08-05T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Pittsburgh Pirates,2015-08-05T18:05:00Z,2015-08-05T,none,none,Pittsburgh,Pittsburgh Pirates Tickets,sports ,espn 
San Francisco Giants at Chicago Cubs,2015-08-06T19:05:00Z,2015-08-06T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
San Francisco Giants at Chicago Cubs,2015-08-07T15:05:00Z,2015-08-07T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Kansas City Royals,2015-08-07T19:10:00Z,2015-08-07T,none,none,Kansas City,Kansas City Royals Tickets,sports ,espn 
San Francisco Giants at Chicago Cubs,2015-08-08T15:05:00Z,2015-08-08T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Kansas City Royals,2015-08-08T18:10:00Z,2015-08-08T,none,none,Kansas City,Kansas City Royals Tickets,sports ,espn 
San Francisco Giants at Chicago Cubs,2015-08-09T02:33:00Z,2015-08-09T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Kansas City Royals,2015-08-09T13:10:00Z,2015-08-09T,none,none,Kansas City,Kansas City Royals Tickets,sports ,espn 
Los Angeles Angels at Chicago White Sox,2015-08-10T19:10:00Z,2015-08-10T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Milwaukee Brewers at Chicago Cubs,2015-08-11T19:05:00Z,2015-08-11T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Los Angeles Angels at Chicago White Sox,2015-08-11T19:10:00Z,2015-08-11T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Milwaukee Brewers at Chicago Cubs,2015-08-12T19:05:00Z,2015-08-12T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Los Angeles Angels at Chicago White Sox,2015-08-12T19:10:00Z,2015-08-12T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Milwaukee Brewers at Chicago Cubs,2015-08-13T13:20:00Z,2015-08-13T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago Cubs at Chicago White Sox,2015-08-14T15:10:00Z,2015-08-14T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Chicago White Sox,2015-08-15T18:10:00Z,2015-08-15T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Chicago White Sox,2015-08-16T13:10:00Z,2015-08-16T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago White Sox at Los Angeles Angels,2015-08-17T21:05:00Z,2015-08-17T,none,none,Anaheim,Los Angeles Angels Tickets,sports ,espn 
Detroit Tigers at Chicago Cubs,2015-08-18T19:05:00Z,2015-08-18T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Los Angeles Angels,2015-08-18T21:05:00Z,2015-08-18T,none,none,Anaheim,Los Angeles Angels Tickets,sports ,espn 
Detroit Tigers at Chicago Cubs,2015-08-19T19:05:00Z,2015-08-19T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Los Angeles Angels,2015-08-19T21:05:00Z,2015-08-19T,none,none,Anaheim,Los Angeles Angels Tickets,sports ,espn 
Atlanta Braves at Chicago Cubs,2015-08-20T19:05:00Z,2015-08-20T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Los Angeles Angels,2015-08-20T21:05:00Z,2015-08-20T,none,none,Anaheim,Los Angeles Angels Tickets,sports ,espn 
Atlanta Braves at Chicago Cubs,2015-08-21T15:05:00Z,2015-08-21T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Seattle Mariners,2015-08-21T21:10:00Z,2015-08-21T,none,none,Seattle,Seattle Mariners Tickets,sports ,espn 
Atlanta Braves at Chicago Cubs,2015-08-22T15:05:00Z,2015-08-22T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Seattle Mariners,2015-08-22T20:10:00Z,2015-08-22T,none,none,Seattle,Seattle Mariners Tickets,sports ,espn 
Atlanta Braves at Chicago Cubs,2015-08-23T13:20:00Z,2015-08-23T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Seattle Mariners,2015-08-23T15:10:00Z,2015-08-23T,none,none,Seattle,Seattle Mariners Tickets,sports ,espn 
Boston Red Sox at Chicago White Sox,2015-08-24T19:10:00Z,2015-08-24T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Boston Red Sox at Chicago White Sox,2015-08-25T17:10:00Z,2015-08-25T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at San Francisco Giants,2015-08-25T21:05:00Z,2015-08-25T,none,none,San Francisco,San Francisco Giants Tickets,sports ,espn 
Boston Red Sox at Chicago White Sox,2015-08-26T19:10:00Z,2015-08-26T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at San Francisco Giants,2015-08-26T21:15:00Z,2015-08-26T,none,none,San Francisco,San Francisco Giants Tickets,sports ,espn 
Chicago Cubs at San Francisco Giants,2015-08-27T14:45:00Z,2015-08-27T,none,none,San Francisco,San Francisco Giants Tickets,sports ,espn 
Seattle Mariners at Chicago White Sox,2015-08-27T19:10:00Z,2015-08-27T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Seattle Mariners at Chicago White Sox,2015-08-28T19:10:00Z,2015-08-28T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Los Angeles Dodgers,2015-08-28T21:10:00Z,2015-08-28T,none,none,Los Angeles,Los Angeles Dodgers Tickets,sports ,espn 
Seattle Mariners at Chicago White Sox,2015-08-29T18:10:00Z,2015-08-29T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Los Angeles Dodgers,2015-08-29T20:10:00Z,2015-08-29T,none,none,Los Angeles,Los Angeles Dodgers Tickets,sports ,espn 
Chicago Cubs at Los Angeles Dodgers,2015-08-30T02:33:00Z,2015-08-30T,none,none,Los Angeles,Los Angeles Dodgers Tickets,sports ,espn 
Seattle Mariners at Chicago White Sox,2015-08-30T13:10:00Z,2015-08-30T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Cincinnati Reds at Chicago Cubs,2015-08-31T19:05:00Z,2015-08-31T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Cincinnati Reds at Chicago Cubs,2015-09-01T19:05:00Z,2015-09-01T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Minnesota Twins,2015-09-01T19:10:00Z,2015-09-01T,none,none,Minneapolis,Minnesota Twins Tickets,sports ,espn 
